year,venue,n_matches,avg_first_innings_total
2008,Arun Jaitley Stadium,6,165.8
2008,Dr DY Patil Sports Academy,4,145.5
2008,Eden Gardens,7,139.9
2008,M. Chinnaswamy Stadium,7,156.1
2008,MA Chidambaram Stadium,7,169.4
2008,Punjab Cricket Association IS Bindra Stadium,7,185.3
2008,Rajiv Gandhi International Stadium,7,173.4
2008,Sawai Mansingh Stadium,7,158.4
2008,Wankhede Stadium,6,146.8
2009,Buffalo Park,3,147.3
2009,De Beers Diamond Oval,3,158.0
2009,Kingsmead,15,152.0
2009,New Wanderers Stadium,8,144.0
2009,Newlands,7,139.4
2009,OUTsurance Oval,2,135.0
2009,St George's Park,7,159.0
2009,SuperSport Park,12,154.8
2010,Arun Jaitley Stadium,7,172.6
2010,Barabati Stadium,2,170.5
2010,Brabourne Stadium,7,174.6
2010,Dr DY Patil Sports Academy,6,151.5
2010,Eden Gardens,7,160.9
2010,Himachal Pradesh Cricket Association Stadium,2,183.0
2010,M. Chinnaswamy Stadium,7,169.1
2010,MA Chidambaram Stadium,7,164.1
2010,Narendra Modi Stadium,4,158.5
2010,Punjab Cricket Association IS Bindra Stadium,5,168.6
2010,Sawai Mansingh Stadium,3,152.3
2010,Vidarbha Cricket Association Stadium,3,149.3
2011,Arun Jaitley Stadium,6,157.0
2011,Dr DY Patil Sports Academy,7,143.1
2011,Eden Gardens,7,136.4
2011,Himachal Pradesh Cricket Association Stadium,3,200.0
2011,Holkar Cricket Stadium,2,137.5
2011,M. Chinnaswamy Stadium,6,144.7
2011,MA Chidambaram Stadium,9,167.6
2011,Nehru Stadium,5,146.8
2011,Punjab Cricket Association IS Bindra Stadium,4,166.2
2011,Rajiv Gandhi International Stadium,7,161.3
2011,Sawai Mansingh Stadium,7,142.6
2011,Wankhede Stadium,9,154.6
2012,Arun Jaitley Stadium,8,165.2
2012,Barabati Stadium,2,156.0
2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,165.5
2012,Eden Gardens,7,148.9
2012,Himachal Pradesh Cricket Association Stadium,2,130.5
2012,M. Chinnaswamy Stadium,8,174.5
2012,MA Chidambaram Stadium,10,160.8
2012,Maharashtra Cricket Association Stadium,9,151.1
2012,Punjab Cricket Association IS Bindra Stadium,6,156.2
2012,Rajiv Gandhi International Stadium,4,153.8
2012,Sawai Mansingh Stadium,8,167.4
2012,Wankhede Stadium,8,141.9
2013,Arun Jaitley Stadium,8,154.5
2013,Eden Gardens,8,147.5
2013,Himachal Pradesh Cricket Association Stadium,2,177.0
2013,JSCA International Stadium Complex,2,142.5
2013,M. Chinnaswamy Stadium,8,160.4
2013,MA Chidambaram Stadium,8,171.2
2013,Maharashtra Cricket Association Stadium,8,143.8
2013,Punjab Cricket Association IS Bindra Stadium,6,160.8
2013,Rajiv Gandhi International Stadium,8,134.6
2013,Sawai Mansingh Stadium,8,154.4
2013,Shaheed Veer Narayan Singh International Stadium,2,150.0
2013,Wankhede Stadium,8,176.6
2014,Arun Jaitley Stadium,5,159.4
2014,Barabati Stadium,3,173.7
2014,Brabourne Stadium,1,173.0
2014,Dubai International Cricket Stadium,7,148.9
2014,Eden Gardens,4,168.0
2014,JSCA International Stadium Complex,4,154.8
2014,M. Chinnaswamy Stadium,6,180.3
2014,Narendra Modi Stadium,4,170.8
2014,Punjab Cricket Association IS Bindra Stadium,3,150.0
2014,Rajiv Gandhi International Stadium,4,166.0
2014,Sharjah Cricket Stadium,6,158.2
2014,Sheikh Zayed Stadium,7,147.4
2014,Wankhede Stadium,6,183.3
2015,Arun Jaitley Stadium,5,146.6
2015,Brabourne Stadium,3,196.3
2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3,156.7
2015,Eden Gardens,7,176.1
2015,JSCA International Stadium Complex,1,139.0
2015,M. Chinnaswamy Stadium,5,178.6
2015,MA Chidambaram Stadium,7,164.0
2015,Maharashtra Cricket Association Stadium,4,165.5
2015,Narendra Modi Stadium,4,160.2
2015,Punjab Cricket Association IS Bindra Stadium,4,139.5
2015,Rajiv Gandhi International Stadium,4,156.2
2015,Shaheed Veer Narayan Singh International Stadium,2,141.0
2015,Wankhede Stadium,8,181.1
2016,Arun Jaitley Stadium,7,159.9
2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,156.2
2016,Eden Gardens,7,152.0
2016,Green Park,2,148.0
2016,M. Chinnaswamy Stadium,9,196.7
2016,Maharashtra Cricket Association Stadium,4,174.8
2016,Punjab Cricket Association IS Bindra Stadium,7,167.9
2016,Rajiv Gandhi International Stadium,7,144.4
2016,Saurashtra Cricket Association Stadium,5,156.2
2016,Shaheed Veer Narayan Singh International Stadium,2,148.0
2016,Wankhede Stadium,4,152.0
2017,Arun Jaitley Stadium,7,184.3
2017,Eden Gardens,7,164.0
2017,Green Park,2,174.5
2017,Holkar Cricket Stadium,3,169.7
2017,M. Chinnaswamy Stadium,8,140.6
2017,Maharashtra Cricket Association Stadium,7,162.6
2017,Punjab Cricket Association IS Bindra Stadium,4,157.5
2017,Rajiv Gandhi International Stadium,8,164.5
2017,Saurashtra Cricket Association Stadium,5,181.6
2017,Wankhede Stadium,8,171.0
2018,Arun Jaitley Stadium,7,180.3
2018,Eden Gardens,9,175.2
2018,Holkar Cricket Stadium,4,164.8
2018,M. Chinnaswamy Stadium,7,187.3
2018,MA Chidambaram Stadium,1,202.0
2018,Maharashtra Cricket Association Stadium,6,173.8
2018,Punjab Cricket Association IS Bindra Stadium,3,185.3
2018,Rajiv Gandhi International Stadium,7,152.4
2018,Sawai Mansingh Stadium,7,161.3
2018,Wankhede Stadium,9,171.3
2019,Arun Jaitley Stadium,7,156.3
2019,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,154.5
2019,Eden Gardens,7,194.0
2019,M. Chinnaswamy Stadium,6,179.8
2019,MA Chidambaram Stadium,8,144.1
2019,Punjab Cricket Association IS Bindra Stadium,7,171.4
2019,Rajiv Gandhi International Stadium,8,171.5
2019,Sawai Mansingh Stadium,7,163.4
2019,Wankhede Stadium,7,176.1
2020,Dubai International Cricket Stadium,26,171.5
2020,Sharjah Cricket Stadium,12,177.9
2020,Sheikh Zayed Stadium,22,162.5
2021,Arun Jaitley Stadium,4,195.0
2021,Dubai International Cricket Stadium,13,156.2
2021,MA Chidambaram Stadium,10,154.8
2021,Narendra Modi Stadium,5,158.6
2021,Sharjah Cricket Stadium,10,136.9
2021,Sheikh Zayed Stadium,8,159.0
2021,Wankhede Stadium,10,176.6
2022,Brabourne Stadium,16,177.2
2022,Dr DY Patil Sports Academy,20,170.7
2022,Eden Gardens,2,197.5
2022,Maharashtra Cricket Association Stadium,13,171.5
2022,Narendra Modi Stadium,2,143.5
2022,Wankhede Stadium,21,166.8
2023,Arun Jaitley Stadium,7,175.6
2023,Barsapara Cricket Stadium,2,198.0
2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,151.8
2023,Eden Gardens,7,192.9
2023,Himachal Pradesh Cricket Association Stadium,2,200.0
2023,M. Chinnaswamy Stadium,7,195.6
2023,MA Chidambaram Stadium,9,170.0
2023,Narendra Modi Stadium,9,195.3
2023,Punjab Cricket Association IS Bindra Stadium,5,197.8
2023,Rajiv Gandhi International Stadium,7,174.4
2023,Sawai Mansingh Stadium,5,171.8
2023,Wankhede Stadium,7,197.9
2024,Arun Jaitley Stadium,5,235.2
2024,Barsapara Cricket Stadium,1,144.0
2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7,182.9
2024,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,231.5
2024,Eden Gardens,7,197.9
2024,Himachal Pradesh Cricket Association Stadium,2,204.0
2024,M. Chinnaswamy Stadium,7,196.9
2024,MA Chidambaram Stadium,9,169.9
2024,Maharaja Yadavindra Singh International Cricket Stadium,5,167.4
2024,Narendra Modi Stadium,8,172.5
2024,Rajiv Gandhi International Stadium,6,204.7
2024,Sawai Mansingh Stadium,5,187.2
2024,Wankhede Stadium,7,188.1
2025,Arun Jaitley Stadium,7,203.3
2025,Barsapara Cricket Stadium,2,166.5
2025,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,192.8
2025,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,186.0
2025,Eden Gardens,6,199.2
2025,Himachal Pradesh Cricket Association Stadium,1,236.0
2025,M. Chinnaswamy Stadium,5,169.0
2025,MA Chidambaram Stadium,6,163.5
2025,Maharaja Yadavindra Singh International Cricket Stadium,6,170.2
2025,Narendra Modi Stadium,9,215.7
2025,Rajiv Gandhi International Stadium,5,203.2
2025,Sawai Mansingh Stadium,7,198.3
2025,Wankhede Stadium,7,175.0
